,POI,hash_raw_address
178563,bapak arifin,bapak ari papango
178576,dauter gejayan,kuw notaris 15 daulay gejayan catur tunggal depok
178583,pos logistic,pos logistik jenderal ahmad yani kerten
178621,grand mulia 786 hotel-,grand mulia 786 hot andi tonro notaris 4
178627,budidaya ikan lele andika,budidaya ikan lele and gondang wetan gondang wetan
178648,"bali hati school, lodtunduh ubud bali",bali hati school lodtunduh ubud bali ubud
178658,rm yunita,rm yun naro cileungsi
178693,nandacell potocopy,nandacell poto malang nengah pagedangan
178696,holland bkry-jati asih,holland bkry jati asih dan raya notaris 76 bekasi jaya bekasi timur
178706,marcofe bistro,marc bisnis raya cilacap k k o 
178728,optic internasional purwosari,optic internasional purworejo raya purworejo
178734,griya muslimah,griya muslimat simpang dirjen iv lesanpuro kedungkandang
178744,deasy professional makeup artist,deasy professional makmur artist graha cemerlang
178748,quarto cell,qua cell bogen i 
178766,smk satria putra bangsa,smk satria putra ban jl ibrahim ripin ii 
178781,an nadwah bimbingan haji & umroh,an nadine bimbingan haji umroh taruna raya barat timur 
178801,warong ci'eng mayora,warong ci mayora desa ban banjer tikala
178808,rotiboy,roti tanjung duren timur 2 7 grogol petamburan
178811,master card,masjid card karang rejo gajah mungkur
178842,jari rental mobil,suplayer ii 12 jaringan rental mobil rancaekek
178896,wartel marga insan nirmala,warung marga insan nirmala pancing buntu 1 pancoran
178925,smp it daarun naiim,smp it daarul naiim semarang raya notaris 9 rw 7 kalideres
178926,hokben,hok raya cinere cinere
178942,cardinal diponegoro,diponegoro notaris 80 card diponegoro denpasar barat
178946,surfsoft professional development centre (spdc),surfsoft professional development centre sp raya pandawa 
178952,rm rajawali laut,b w laptop 6 3 rm raja laut
178958,pt. fiti indonesia,pt fiti indonesia jenderal gatot subroto kuningan timur setia budi
178968,koperasi lima garuda,koperasi lima garden cluster court puseurjaya
178985,bank negara indonesia kcu blitar-cdm,bank negara indonesia kcu blitar kenanga 
178988,ahza fotokopi,ahza foto let suprapti notaris 110 kepatihan tulungagung
178989,komplek balitvet,komplek bali pondok tajur indah tajur
179001,konsuil care center,konslet care center kerta
179005,richeese factory metro sunter plaza,rich factory metro sunter plaza
179033,kp pasung kaler,kp pas kaler gg kenanga desa katapang katapang
179117,subeno,sub raya wringin harto 
179122,kios fauzina,kios fauziah 
179155,tjokro riverside,tjokro river jl ngadi mulyo jl hostel cokro pakuncen wirobrajan
179179,buah buahan segar,buah bua segar sukawening
179196,prita melanie,prita melawai khadijah ali
179197,bidan titik kusmiati,bidan titik kusmirat raya pacet 
179230,mi islamiyah pringlangu 01,mi islam pringlangu 01 urip sumoharj pekalongan selatan
179236,kantor upt dinas pu kec. keritang,kantor upt dinas pu kec keripik penun keritang
179278,citra education centre,citra education center perintis kemerdekaan
179315,apotek zamrud farma,apotek zam farma 
179322,fitria griya manten,sunan ampel notaris 28 fit griya manten 
179324,garage car rental safara jogja,sono notaris 56a garden car rental safara jogja ngestiharjo
179327,singkong keju ocan,sing kejuruan ocan betawi wonosobo
179340,sd negeri 01 kaliwuluh,sd negeri 01 kaliwungu kebakkramat
179347,kawasan pergudangan & industri eraprima l19,poris gaga baru kawasan pergudangan industri eraprima l19 daan mogot 21 rta 1 1 15122
179351,apotik rakyat citra musi amrizal,apotek rakyat citra musi amri pasar 16 ilir ilir timur i
179352,puskesmas cabenge macanre,puskesmas cabenge macaroni macanre lili rilau
179353,miereng suwanli puja,miereng suwarno pujasera kediri wringin kedungwringin
179364,deltindo utama services. cv,deltindo utama services cv mahesa 
179367,masjid sabillul mustaqim,masjid sabilul mustika wateswinangun sambeng
179383,pewangi laundry,pewarta laundry laksa muda adi suci banguntapan
179389,mesjid al-ihsan,mesjid al ihsan
179390,krazu nusantara. pt,inspeksi kaltim d 11 krazu nusantara pt jakarta sampurna
179411,tangguh lestari ps,tang lestari ps raya bogor 
179415,irma masjid alhikmah pasar segiri,irma masjid alhikmah pasar segara pulau flower 
179428,pkbm kompak,pkbm komang a damy tangerang
179432,sarung mobil dan motor,sarana mobil dan motor komplek kemilau permata 
179454,toko trigiva,toko trigada saombo gunungsitoli
179472,gading icon apt-tower rosewood a,gading icon apt tower rose a pulo gadung
179476,sablon kaos satuan,sablon kaos satria kober 
179492,pkbm pangeran jayakarta,angke jaya notaris 19 pkbm pangkas jayakarta 6 angke tambora
179544,smpn satu atap 1 bangkunat belimbing,smpn satu atap 1 bangkalan belimbing lintas barat 
179562,"kost lantai 3 belakangan rumah makan abdi minang, barat gor klebengan",kost lantai 3 belakangan rumah makan abdi minang barat goreng klebengan mang 5 55281 depok
179569,salon rengganis sukasari,salon rengganis suka suka i bogor timur kota
179576,gayo kopitiam heritage coffee,gayo kopi heri coffee altara cibubur cimanggis
179577,triple 888 ponsel,triple 888 pondok putussibau kota putussibau utara
179585,sd negeri margasari ulu,sd negeri marga ulu sungai bahalang tapin tengah
179599,indotama juang,indo juang jaian raya nanga pinoh tanjung niaga nanga pinoh
179607,shevanna online,nageri tengah shevilen online jenderal sudirman purwakarta
179612,tumbur agung toko,tum agung toko karya makmur
179623,apotik najwa,apotek najwa nasional panembahan
179630,taman pendidikan al-qur'an (tpa tpq) al mukmin,sukun 130 taman pendidikan al qur an tpa al mukmin
179635,manunggal suwardi,manunggal tirta muara ciujung barat rangkasbitung
179640,akur pratama. pt,akur pratama pt a h nasution notaris 46 pakemitan ujung berung
179664,c.v. anugerah mulia,c v anugrah mulia pakisaji karang duren pakisaji
179679,masjid al-muhajirin,masjid al muhajirin 
179696,wendewa timur kel.,wendy timur kel 
179705,tulip intimate,tulip inti jatinegara
179710,bantul chicken krispy,ban chicken krispy muh yamin bantul
179732,cv. bandung computer,cv bandung computer dip
179758,heliport lippo karawaci,boulevard dip 105 kelapa dua heliport lippo karaoke kelapa dua
179771,smp negeri 2 kertajati,smp negeri 2 kerta 
179797,gobang sbc,gober sbc sambi kereppare gang iii sambikerep
179810,ps. cihapit,ps cihapit cihapit bandung wetan
179851,unique studio bandung,uni studio bandung cihideung
179862,toko rakhan,toko rakyat raya tajug tajug karangmoncol
179873,agen resmi nasa parung bogor,agen resmi nasa parfum bogor h mawi 
179874,ruang direktur keuangan dan akuntasi,ruang direktur keuangan dan akuntan babakan dramaga
179876,toko h.udin,toko h u h bosih
179903,kangol,kantor raya pantai kuta 
179911,apollo netz,apotek netz pekapuran raya 
179931,rm lalago biru,setia luhur notaris 186 rm laluna biru medan helvetia
179933,smp satu atap lumasebu,smp satu atap lumajang 
179969,bangkit ud,bang ud piramal siri 1 sidoarjo
179970,sma negeri 1 borong,sma negeri 1 bor borong
179976,toko peralatan rumah tangga,toko peralatan rumah tan kusuma
179978,cv. citra indah sejati,cv citra indah sejati karang pucung
179986,mi swasta al-hidayah cidodol,mi swasta al hidayah cidodol muncang
179992,sd negeri 176351 purba dolok,sd negeri 176 purba dolok huta bagasan
179994,kp. gendong utara,kampung gendong utara 661 sarirejo kp gendong utara 6 semarang timur
179997,has bengkel & salon mobil,hasyim bengkel salon mobil terbaik lor
180011,pondok inatsa,pondok ina rappo raya notaris 133 buakana
180016,rializ salon,ria salon karangan
180018,warung kopi marjoko,warung kopi marjani katikan
180019,muslimah fashion,muslimat fashion perum pesona sari residence 
180049,modena boutique,modern boutique moh hatta notaris 13 pauh
180053,japanes celluler,putri balau 183 japanese celluler
180064,pt sentra artatama raya,pangkas sido inggil kenanga pt sentra arta raya gandus
180092,hj. monalisa,hj mona pangkajene maritengngae
180108,sinar rajawali,sinar raja buleleng utara kel gading 
180116,warnet kornet,warnet korpri loktabat utara
180157,hana kacamata,hana kaca jenderal ahmad yani kebon waru batununggal
180169,indomart,indo surya kencana gunung parang
180201,warteg barokah,warung barokah jenderal sudirman andir
180211,"buntu, jambangan",bun jambangan gg iii jambangan
180230,budi santosa,budi santoso sutan syahira kestalan
180263,dokter taufan sinatra,dokter taufiq sinatra jenderal gatot subroto notaris 478
180269,nafisah,nafi 
180279,bengkel las dan motor bondan,bengkel las dan motor bon limbung
180289,ayudya wallpaper,ayu wallpaper argo tunggal 
180309,pt surya prapta indah,pt surya pratama indah kh ridwan rais 
180335,sd negeri 03 sidorejo,sd negeri 03 sido arut selatan
180341,monsanto indonesia  mojokerto plant,monsieur indonesia mojokerto plant kh ahmad dahlia 
180349,anugrah reflexy reflexy kebugaran,anugrah refleksi reflexy kebugaran 
180362,pencak silat hati suci,penyet silat hati suci sungai pandanaran
180366,23 maticshop dan sabrina cell,23 matic dan sabrina cell raya kaltim 
180369,vss skotlet motor,raya pulo bambu vss skotofil motor suka indah sukakarya
180380,nindya utama,bekasi barat notaris 68 ninety utama rw 2 pisangan baru
180383,bidan siti nuraini h sst,bidan siti nura h sst 
180435,kost thalia,kost tha moga v malalayang i malalayang
180482,toko sahlan,toko sahara raya ciwangi cibening
180483,mutiara carita cottage & resort,mutiara carita cottage resort mutiara car carita carita
180484,pos polisi wahana,wahana pondok gede pos polsek wahana jatiranggon jati sampurna
180491,masjid al-muhajirin duta kranji,masjid al muhajirin duta kramat gelatik 3 bekasi barat
180495,perum. intan village,permai intan village perum intan village simpang tiga
180497,penginapan adinda galery,karang menja iii 47 penginapan adi galery rw 7
180521,gbi ngargoloka,gbi ngargoyoso 
180530,warteg rm,warung rm paku telukjambe timur
180550,toko gunarso,toko guna raya pul kencana tulang bawang tengah
180597,balai diklat lp ma'arif kab. demak,botorejo balai diksyi lp ma a kab demak 59571
180603,ud. linggar,ud ling 
180615,yayasansabatu,yayasan cendana
180636,sd strada tkm ii,tris notaris 214 sd street tkm ii rta 11 1
180648,juanda cakrawala nusantara,juanda cakra nusantara letj wahono sedati gede
180695,pasco (passion of chocolate),tridaya sakti 9 pascorner pas of chocolate tambun selatan
180703,panca surya. pt,panca surabi pt tepi pas kampung pondok padang barat
180727,kapsul daun ungu obat ambeien kudus,kapsul daun ungu obat ambengan kudus raya kudus pati 
180761,prapatan h.gareng,haji abu 2 notaris 11 prapatan h gareng rta 9 rw 10 tebet
180769,galaxy net,galeri net kebonkalapa
180793,pt. perusahaan perdagangan indonesia,terusan majapahit notaris 34 1 pt perusahaan perdagangan indonesia rw 8 gambir
180815,es camcau khas bandung,es campur khas bandung sri gading sanden
180820,dondon bali busana. cv,donuts bali busa cv pulau supi denpasar barat
180833,tk islam terpadu baitus syahadat,tk islam terpadu baitul syahira
180852,masjid nurul mu'minin,masjid nurul mu m blok a wara timur
180855,"tk islam, komplek pdk cipondoh indah",cipondoh tk island komplek pdk cipondoh indah utama ujung 332 rta 5 5 15148 cipondoh
180856,sumatera sport. pt,sumatera sport pt air berkah sudirman rejo i
180861,apotek bielna farma,apotek bie farma raya suruh tingkir tengah
180876,lampriet,lampung chikita muhammad tha pere bandar baru kuta alam
180881,quality sekawan mandiri. pt,quality sekawan mandiri pt engku putri batam kota
180902,toko bayiku jln ciledug 178,toko bay jln cilegon 178 ciledug kotakulon
180926,nasipecel madiun hotel merdeka,nasipecel madura hotel merdeka dip setiamekar
180928,sri pakuwon jati,sri paku jati raya purwantoro
180938,promo suzuki sunter,promo suzuki sun danau sun selatan 
180962,qolbun saliim,dukuh ginting qolriah saliim gintungkerta klari
180964,stem motor hj damariah,stempel motor hj damanik raya pasar baru bojonggede
180976,balai desa jeruksari,balai desa jeruk jeruk sari 
180990,"ruko concordia, kota wisata cibubur",raya 30 ciangsana ruko concordia kota wisata cibubur gunung putri
181008,toko klontongan m. gibran,toko klontongan m gibran arif rahayu hakim notaris 17 16452
181010,optik seis - pacific place,optik seis pacific place scbd 
181023,tk dharma wanita panggungasri,tk dharma wanita panggungrejo 
181025,hanyoung,hany labu mangga besar
181033,precon,presto kosambi walahar
181039,rm warungku kopo 218,rm waru kopo 218 k h wahid hasyim notaris 216 40232
181044,perusahaan kayu ibu rostika,perusahaan kayu ibu rostiaty raya majlis 
181045,buana putra mandiri. pt,buana putra mandiri pt h sandal 
181059,campina es krim,camp es krim kh fudh 
181061,redwood cafe&lounge cakranegara,redwood cafe l cakranegara turida sandubaya sandujaya 
181069,sumarmi,sumatera raya toda todanan
181075,samsara spa and beauty,samsung spa and beauty kuta
181102,agro bintang dharma nusantara. pt,agro bintang dharma nusantara pt mt haryono 
181116,pt. adira dinamika multi finance tbk cabang surabaya 2 gubeng,pt adira dina multi finance tbk cabang surabaya 2 gubeng raya gubeng
181130,pecel lele super kremes,pecel lele super kreasi bun besar
181136,chikin's store,chikita store andir dungus cariang andir
181148,dr putri deva karimah spog,dr putri deva karisma spog lubuk alung lubuk alung
181152,citra mahardhika. cv,geg girang 81 citra mahardhika cv gegerkalong sukasari
181181,sekolah menengah kejuruan negeri 1 pangkalpinang,sekolah menengah kejuruan negeri 1 pangkal
181190,tk.lida jaya,tk l jaya kasemen
181208,momentum informasi politik & pembangunan,momentum informasi politik pembangunan imam bonjol 
181219,es kelapa muda dan mie ayam,es kel muda dan mie ayam 
181278,imah rahmat hidayat bin muksin alatas,imah rahayu hidayah bin muksin alatas 46471 salawu
181291,patricia bags,patriot bags margonda raya 
181292,goodway indonesia pt,good indonesia pt pec 
181294,kios fikram,kios fikris bontotallasa pettuadae turikale
181376,pengrajin ayunan tali hammock,pengrajin ayu taliwang hammock patokbeusi
181405,cheetah komputer,cheetah komplek yos sudarso 
181406,pastelia,pastori bhakti tugu koja
181422,galeryta,gale r suka ilir timur ii
181437,cv. yuwono utama,cv yuwono utama siwa permai iv 
181470,juice iza arju family,juice iza arjuno family kebon kembang 
181479,dinas kehutanan pertanian dan urusan ketahanan pangan kabupaten banyuwangi,jaksa agung suprapti 59 dinas kehutanan pertamina dan urusan ketahanan pantai kabupaten banyuwangi 
181506,irwan hilaludin dan rekan,irwan hilal dan rekan desa abadi jaya 
181507,home sherin,home she sukadamai tanah sereal
181528,rachma. pt,rachman pt jenderal gatot subroto
181579,"dr. magdalena siska trisanti, sp.m",dr magdalena siska trisanti sp m terusan sukarami
181592,tk krajan 01,tk kramat 01 57562
181600,cinta cellular,cinta cell batu ampar baru
181602,cv. karya allindo perkasa,cv karya alliance perkasa mertoyudan
181612,warung as5diun,warung as5d marlina barat padangsambian klod denpasar barat
181615,tpu randhu alas,tpu rangga alas dorokandang lasem
181626,cipta bangun lestari. ud,kemasan cipta bangun lestari ud joyoboyo 51a kediri kota
181630,toko sepatu county,toko sepatu course m yunus
181652,madrasah diniyah al ikhsaniyah,madrasah diniyah al ikhsan pasar baru 1 cihideung
181654,praktek dr dasril efendi sppd.kgeh,ari ahmad 70c praktek dr dasana efendi sppd kgeh tengkerang tengah marpoyan damai
181668,nomura indonesia pt,nom indonesia pt danau mat bendungan hilir tanah abang
181684,panti asuhan al-hidayah,panti asuhan al hidayah laiya iii notaris 23e pattunuang
181688,heti s collections,heti s collection vila gading harapan 5
181718,sd negeri sambong permai,sd negeri sambelia permai 
181797,paytren tn0149193,paytren tn014 kolombo masters 
181814,maskan padang minang jaya,masjid padang minang jaya kumbokarno 
181816,kampung kuring,kampung kurnia h ibrahim adjie cijaura buahbatu margacinta 
181837,warkop pak toha,dr ratna notaris 89 warung pak toha jatiasih
181849,fendia net,fen net negara
181869,subaru,sub bun 2 kebayoran lama selatan kebayoran lama
181886,rumah kos lingga jaya,rumah kos lintas jaya abdul hamid kanigaran
181968,alfamrt r122 sbt3 sabu,alfamart r122 sbt3 sabu sabutung ujung tanah
182007,siloam hospitals tb simatupang -kebidanan&kandungan,tol ling luar silver hospitals tb simatupang kebidanan kandungan
182039,data engineering konsultan. cv-serang,data engineering konsultasi cv serang raya ling selatan notaris 27
182042,perumahan green lake,perum green lake wonogiri timur baru iv 
182069,agrobumi indah pt,agro indah pt raya pakal pakal
182072,ahass dunia motorindo cemerlang,ahass dunia motor cemerlang wijaya 2 rw 5 12710
182090,warung dapoer boenda,warung dapoer boezha j a suprapti 3 rampal celaket
182091,masjid makmur semingin,masjid makmur semi sumber sari moyudan
182114,saung h.yusuf,sukamanah raya 23 karang sari saung h yu rta 1 rw 6 neglasari
182121,lapangan gor wijayakusuma,lapangan goreng wijayakusuma 
182131,smk penerbangan dharma wirawan pepabri,smk penerbangan dharma wira pepabri letjend wahana 
182140,kantor pemasaran perumahan gemilang,kantor pemasaran perum gemilang batas kampus 
182168,ry kal couple,ry kaltim course 
182172,ikatan dai indonesia,haji karim notaris 32 ika dai indonesia jatiasih
182189,puskesmas lingkar timur,sudirman 7a puskesmas ling timur 
182201,industri kereta api pt persero,industri kereta api pt persada yos sudarso patihan manguharjo
182265,maxikom. cv,maxi cv resident abdul rozak notaris 7 kalidoni
182274,mcf kredit sepada motor,mcf kreasi sepada motor gatot subroto
182277,toko pak riyanto,toko pak riyadul raya sambelia gede 
182288,rumah makan suratman,rumah makan surabaya metro pusat
182290,hj. rukayah,hj ruka raya rogoj rogojampi
182341,upt. smp negeri 9,upt smp negeri 9 semeru 
182345,warung kristi,warung krisna senet ampel
182362,d'paradise exclusive resort,d paradise exclusive resort raya baran semugih
182384,pastori gereja baptis indonesia citarum,pastori gereja baptis indonesia cita cita bugangan semarang timur
182387,madrasah diniyah nurul iman tk-tp al-qur'an nurussalam,madrasah diniyah nurul iman tk tp al qur nurussalam cukangjayaguna
182390,nyonya malone,nyonya malang melati
182398,lingga's auto body repair,ling auto body repair irigasi sipon 
182411,narya utama. cv,narya utama cv imam bon denpasar barat
182415,toko primatop,toko primary mahesa rahayu
182423,bakso rajane,bakso rajasa mentari supeno sokaraja
182457,mi swasta nu 64 tamanrejo,mi swasta nu 64 taman taman rejo sukorejo
182476,superfoam talita,super talita irigasi
182492,distributor nasa margasari,distributor nasa marga altara marga raya 
182505,reka citra. pt,erlangga tengah gang i 15 reka cit pt rw 4 pleburan semarang selatan
182526,digital camera,digital campur jenderal ahmad yani gayungan
182529,ibu kirana - agen lamandel,ibu kirana agen lama villa tangerang regency ii 
182537,kopi tulen kastawi,kopi tulen kasturi ki ageng kiri tayu
182550,komp pertokoan ruko taman graha asri,komplek pertokoan ruko taman graha asri ngasem wonokromo
182551,kios nungki,kios nunung mawar suko rejo
182581,nasi temple penyet dan soto ayam,nasi tempat penyet dan soto ayam urip sumoharj tanggul
182582,sd negeri sembung,sd negeri sembako raya perabot 
182600,tristar chemical,tris chemical kebun jelambar pisang jelambar
182601,lembang sasak kel.,lembaga sasak kel 
182608,k chicken lovers,k chicken lovina haur mekar lebak gede coblong
182621,ud. sumber rejeki,ud sumber rejeki kapuk kamal raya cengkareng
182630,nanny's pavillon,nanny s paviliun gandaria 1 kebayoran lama
182667,pt cosmotec sarana elektronika indonesia,pt cosmetic sarana elektronik indonesia sinar budi 
182674,golden footwear indotama 2. pt,golden footwear indotama 2 pt rajawali punggul
182695,meranti sakti indah plywood. pt,gajah mada notaris a 4 meranti sakti indah plywood pt samarinda kota
182702,pasar karangploso,pangkas sudirman giri karang 25 26 girimoyo pasar karang karangploso
182729,warungmakan handyka,warung handoko ahmad yani notaris b 12
182740,taman pendidikan al-quran al -azhar,taman pendidikan al quran al az pelita ii kampung pelita
182741,primer village,cipondoh prima village irigasi sipon rta 1 3 cipondoh
182747,mister clean laundry dan dry clean,mis clean laundry dan dry clean kel gading catur tunggal
182763,sembilan toko,sembako toko gagak pallantikang
182772,mi arrosydin ngandong,mi arrosydin nganjuk ketawang
182776,masjid baitur rahim,masjid baiturrohim rahim raya balance 
182812,ud. riswanto,ud riswanto ponc cokrodiningratan
182825,pkbm pitaloka,pkbm pita melon raya 50 karadenan
182827,santral karpet,santoso karang raya industri 
182832,permana advertising,permata advertising d kr residence tugu
182835,pasir tarisi,pasir taruna cigadog cikelet
182840,mas al muslihun,masjid al muslimat 
182842,melamun hotel,anturan melawai hotel lavicie notaris 17
182847,lapis lapis cacery & restaurantt,lapis lapis cacery restaurant agung permai 15 sunter agung tanjung priok
182857,permandian borong lompoa banyorang,permandian borong lombok banyorang 92461 tompobulu
182881,productivity & quality management consultants,productivity quality management consultant imam bon lubuk baja kota
182908,regivan cv,regional cv bun besar 
182921,cv kharisma leon corp,cv kharisma leonard corp kiangroke banjaran
182931,beluga,belawa kramat pelangi kramat pelangi
182938,mas al-murahamah banyorang,masjid al mura banyorang baji areng banyorang
182960,jawaratech repair all elektronic,jawaratech repair all elektronik 
183017,pt. nusa indah angkasa,pt nusa indah angkasa 
183028,pkbm gurame bastar,pkbm gurame basuki purnama ii notaris 6 pontianak selatan
183035,pangkas rambut borneo jaya,pangkas rambut bor jaya teratai loa buah sungai kunjang
183047,klinik dr.irwan daido,klinik dr irwan daido tenggarong
183061,gereja kesatu kristus,gereja kesatu kristen jagalan pakualaman
183073,warkop alas jati,warung alas jati kalitidu
183101,toko lasidos,toko lasiming dasana beringin medan selayang
183107,borneo teknik,bor teknik 
183116,dokter baringin pasaribu,dokter bari pasaribu adhiy 87219 kota waikabubak
183121,leni anggraeni,leni anggraini 
183165,toko beras ar rahman,toko beras ar rahayu huta koje padang sidempuan tenggara
183181,mushalla pulo rungkom,mushalla pulo rungkut pulo rungkom
183211,djarot sofa,djarum sofa wonotolo gondang
183214,pt hartora,pt hartini h m kadori oen 12 air hitam
183217,evie taman kenari,gg jambu 25 melong evie taman ken cimahi selatan
183272,al- pictures,al pictures mari sukaresmi
183276,salman,salero sukawening
183284,kios moro seneng,kios moro sentra raya pacific punung
183287,mas an-nur maarif bakengkeng,masjid an nur maarif bakengkeng poros mampir belang belang
183291,komplek akasia,terusan bung hatta 34 cakranegara barat komplek aka mataram
183301,may may bridal,mayora mayora bri tanjung duren selatan
183302,restaurant nagamas,restaurant naga wisata utama 
183309,new delhi indian resta,new delhi indah restauran kartika plaza kuta kuta
183312,summit tpi-ho,sumber tpi sambu
183320,sangkar ayam pekanbaru,dt ahc notaris f 20 sanggar ayam pekanbaru 
183339,notaris dan ppat anisa budhiyati sh,genteng e6 1 notaris dan ppat anisa budhi sh 
183353,garasi cafe & permana cars clinic,garasi cafe permana cars clinic sultan adam surgi mufti banjarmasin utara
183354,sabandar press motor,saba press motor mardani raya johar baru
183356,toko bayu romadhon,toko bayu roma ponlo 
183368,pondok iko sabana,pondok iko sablon kramat 2
183371,rm pondok manggis,rm pondok mang raya wana 
183419,hani ponsel,hani pondok man medan selayang
183424,cahaya gordyn,cahaya goreng gatot subroto lalang
183439,wartel ondo toho,warung ondo toho perjuangan 
183445,varash healing oil classik,varash healthy oil classic h hasan basri padang batung
183463,bintoro gorden,bintang gorden raya kanci luwung
183486,lancar jaya,lantai jaya dukuh kupang xxv dukuh kupang dukuh pakis
183495,wayn vin et dinner resto,wayn vin et dinamo resto ancol
183496,sansan hoby center,sandal hoby center pluit indah pluit
183500,markas budiman,markas budi rappo raya banta bantaeng
183504,toko spannung energie,toko spanduk energie swadaya ii jatiranggon jati sampurna
183523,laksmi cake's,laksmi cake s 94765
183531,gereja katolik kristus bangkit,kadipaten gereja katolik kristen bangkit sadewa notaris a 34 45452
183542,kursus mengemudi natuna,kurnia mengemudi natuna singosari
183553,taman pendidikan al-qur'an (tpq) surau jannatul mawa,taman pendidikan al qur an tpq surau jannatul mawaddah hasyim lima puluh
183554,srikoyo omah kopi dan jamu,srikandi omah kopi dan jamu 
183556,taman pendidikan al qur'an nurul hakim,taman pendidikan al qur nurul hakim guwoterus montong
183562,osh kosh b'gosh,osh kosh b g simpang lima pleburan
183564,warung makan sidodadi,warung makan sido lpmp tirto martani kalasan
183580,mts swasta daarul mustaqiem,mts swasta daarul mustaking gunung sari pamijahan
183582,ud. husein al-bana,ud husada al b pasar gede bage mekar mulya
183590,ikatan notaris indonesia,roxy masjid notaris 2 ika notaris indonesia rw 6
183604,counter dan toko as-ka,counter dan toko as ka 
183609,sri suwarni,sri suwarno leuwi panjang situsaeur bojongloa kidul
183615,koperasi simpan pinjam primadana nusantara,koperasi simpan pinang primadana nusantara titra ening sanur kauh
183616,toko gorden marigold,jenderal ahmad yani b 3 toko goreng marigold 
183621,masken abadi. pt,masjid abadi pt mentari kenjeran barat vii 
183641,smk pemkab asahan,smk pemkab asa 
183656,pt. fajar utama tour and travel,pt fajar utama tour and travel perum sawang permai 
183662,romo photography & art,romo photography art 56351
183670,gereja isa almasih,gereja isa alma gunung salatiga makassar
183690,radio actari 96'6 fm,radio act 96 6 fm raya cikoneng 
183714,sekolah menengah pertama bintang persada,sekolah menengah pertiwi bintang persada gng lintas notaris 466 denpasar barat
183719,restoran miramar,restoran mira 
183733,pangsit mie ayam,pangkas mie ayam rongsok 
183737,kangen water makasar,kangen water makassar jl perum dosen unhas 
183759,tk glory parking shop,tk glory park shop resapombo doko
183773,al mutaqin,al muta raya kradenan wetan sumbang
183791,tks kejambon,tks kejayan raya talang slerok tegal timur
183803,books&beyond living wo,alam sutera boulevard notaris 27 bookstore b living wo pakulonan
183818,warung beranda,warung beranak 
183832,spbu 54.841.01,spbu 54 84 rasanae barat
183833,kb kuncup mekar,kb kuning mekar raya timur reban
183846,bungsu king motor,bun king motor raya cijerah cililin
183851,"trisinar masperkasa, pt",tris masperkasa pt man dua raya
183857,distro clinik,distro clinic barurejo
183866,reddoorz @ dinoyo,reddoorz dinamo gaja lowokwaru
183881,ibu mirana,ibu miroso jenderal sudirman teluk binjai
183919,adiprabu gallery,adipura gallery prabumulih timur
183943,ayam penyet kremes warung shayna,ayam penyet kremes warung shanti indra rejo sari
183944,faraqua,faradina bhakti i notaris 50
183949,smp islam terpadu al-asror,iswah notaris 337 smp islam terpadu al asror 
183959,taman kanak-kanak (tk) ora et labora,taman kanak tk orange et labora pangkas polim raya 50 rw 4 12160 kebayoran baru
183992,rivai rianto,rivai ria muria raya menteng atas
184016,sd negeri 30 lakitan,sd negeri 30 laki batas kota pada kota paiton iv jurai
184023,nazri ponsel,nazri pondok 
184035,laju makmur pratama. pt,laju makmur pratama pt daan mogot notaris 54 12 kalideres
184048,bni syariah kcp selong,bni syariah kcp selera teungoh zainuddin abdul majid 
184067,"balai diklat bkkbn provinsi jawa barat - jalan sederhana, bandung",balai diklat bkkbn provinsi jawa barat jalan sederhana bandung sederhana notaris 10 40161
184070,janeta homestay,jannah home pastori pog raya 
184078,kasiyem,kasinem raya wringin harto sidamulya sidareja
184088,venusa,veneta pluit indah 
184107,unique cellular-ho,jenderal gatot subroto 290 uni cellular ho pasar jambi
184117,"bursa mobil, wtc mangga dua",ancol bursa mobile wtc mangga dua man dua raya 8 rw 5 14430 pademangan
184166,pejabat pembuat akte tanah sementara camat tamansari,pejabat pembina akte tanah sementara camat taman
184168,superoti,supermal raden fat paninggilan utara
184189,jus kabita,jus kab palapa i jakarta setia
184226,raditya baby kids singaraja,radiator baby kids singaraja w r supra buleleng
184246,korean language course trenggalek,korpri langgeng course trenggalek raya bensin pogalan
184251,toko bunga crisan,toko bunga crispy padjajaran 
184264,smp al inayah purwosari,smp al inayah purworejo bakalan
184268,toko perlengkapan bayi dan pernak pernik mainan anak,toko perlengkapan bayi dan pernak permai mainan anak pisangan lama iii pisangan timur pulo gadung
184276,warteg ibu hoho,merapi ilir utara warung ibu hoho rw 1 kembangan
184281,citrea glass,cit glass raya pekalongan 
184331,warkop athung,warung athung 78614 sintang
184347,rumah mandarin,rumah mandiri raya pangkas
184361,perumahan lokatmala regency,perum lokatmala regency mayora ishak djua loji bogor barat kota
184390,bank banten,bank ban raya darmo darmo wonokromo
184402,slammed ban,slam ban nogotirto
184428,putri karyo prasojo,putri karyo prasetyo raya lamongan lamongan
184431,tempat penitipan anak chinta ananda,tempat penitipan anak chinta ana 
184442,blackball living word mall,black living word mall sutera utama pakulonan serpong utara
184447,garda utama. cv,garda utama cv ban permai i 
184453,sd negeri cipaku 4,sd negeri cip 4 perintis cipaku
184463,mts swasta ypi p. siantar,mts swasta ypi p siantar seram bantan
184465,mushalla arifin ilham yayasan ar rasyid,mushalla ari ilham yayasan ar rasuna sebatik
184466,masjid kaliabu,masjid kali 
